NOM_ABREV_ORGAO;SGL_UF;NOM_LOCALIDADE;COD_TIPO_AUTOR;UO__Cod_;NOM_ABREV_UNID_ORCA;COD_AUTOR;COD_EMENDA;NOM_AUTOR;SGL_PARTIDO;FUNCPROG;SALDO;UF_AUTOR;Título;200;270;410;420;510
M. da Educação;BA;Camaçari;01;26298;FNDE;3564;35640016;Nelson Pellegrino;PT;12.361.1376.0E01.0064;500000;BA;Apoio ao Desenvolvimento do Ensino Fundamental - Camaçari-BA;500000;500000;495000;0;0
M. da Educação;BA;Correntina;01;26298;FNDE;3459;34590015;Luiz Alberto;PT;12.361.1376.0E01.0062;50000;BA;Apoio ao Desenvolvimento do Ensino Fundamental - Correntina-BA;50000;50000;50000;0;0
M. da Educação;BA;Cruz das Almas;01;26232;UFBA;3456;34560006;Walter Pinheiro;PT;12.364.1073.6373.0164;100000;BA;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - Recuperação e Modernização de Campos de Pesquisa da Escola de Agronomia - Cruz das Almas - BA;100000;100000;0;0;0
M. da Educação;BA;Valente;01;26298;FNDE;3438;34380004;Colbert Martins;PPS;12.361.1376.0E01.0060;100000;BA;Apoio ao Desenvolvimento do Ensino Fundamental - Valente-BA;100000;100000;0;0;0
M. da Educação;BA;Vitória da Conquista;01;26232;UFBA;3170;31700004;Coriolano Sales;PFL;12.364.1073.6373.0160;500000;BA;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - Campus de Vitória da Conquista - BA;500000;500000;0;0;0
M. da Educação;CE;Ceará;01;26298;FNDE;1243;12430005;Pastor Pedro Ribeiro;PMDB;12.366.1060.0507.0002;30000;CE;Apoio a Projetos Especiais para Oferta de Educação Básica a Jovens e Adultos - Instituto Daniel Berg - Estado do Ceará;30000;30000;30000;0;0
M. da Educação;CE;Ceará;01;26298;FNDE;3376;33760006;Vicente Arruda;PSDB;12.361.1376.0E01.0090;100000;CE;Apoio ao Desenvolvimento do Ensino Fundamental - Ampliação e Reforma de Escola Pública em Municípios - Estado do Ceará;100000;100000;0;0;0
M. da Educação;CE;Ceará;08;26101;M. da Educação;7107;71070002;Bancada do Ceara;S/PARTIDO;12.364.1073.0048.0366;4700000;CE;APOIO A ENTIDADES DE ENSINO SUPERIOR NÃO FEDERAIS - Apoio às Universidades Estaduais do Estado do Ceará;4700000;4700000;499999,22;499999,22;499999,22
M. da Educação;CE;Fortaleza;01;26101;M. da Educação;1240;12400008;João Alfredo;PT;12.364.1073.0048.0282;200000;CE;APOIO A ENTIDADES DE ENSINO SUPERIOR NÃO FEDERAIS - Fortaleza - CE;200000;200000;0;0;0
M. da Educação;CE;Fortaleza;01;26233;UFCE;1240;12400019;João Alfredo;PT;12.364.1073.6368.0084;220000;CE;Instrumental para Ensino e Pesquisa Destinado a Instituições Federais de Ensino Superior e Hospitais de Ensino - Fortaleza - CE;220000;220000;0;0;0
M. da Educação;CE;Fortaleza;01;26233;UFCE;3226;32260018;Inácio Arruda;PC DO B;12.364.1073.6373.0166;150000;CE;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - Biblioteca da Faculdade de Direito - Fortaleza - CE;150000;150000;0;0;0
